date	edited_by	job	researched_by	source	state	statement	subjects	truth
2011-03-24	Robert Higgs	Democrat	James McCarty	Dennis Kucinich	Ohio	"""Due to a flaw in the 1995 Outer Continental Shelf Deep Water Royalty Relief Act numerous oil companies are now drilling in the Gulf of Mexico in federal lands and paying no royalties to the federal government."""	['Energy', 'Federal Budget', 'Gas Prices', 'Government Efficiency']	3
2011-03-23	John Bartosek		Aaron Sharockman	Glenn Beck		Says Allen West helped thwart a terrorist plot by shooting a gun in the direction of an Iraqi detainee, then reported the incident to his superior and said it was wrong.	['Candidate Biography', 'Iraq', 'Pundits']	3
2011-03-23	Martha M. Hamilton	Republican	Louis Jacobson	Ted Poe	Texas	The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.	['Federal Budget', 'Foreign Policy']	1
2011-03-23	Elizabeth Miniet, Jim Tharpe	Republican	Eric Stirgus	Johnny Isakson	Georgia	"""Since President Obama took office, gas prices have gone up 67 percent."""	['Cap and Trade', 'Climate Change', 'Economy', 'Gas Prices']	3
2011-03-23	Brenda Bell, W. Gardner Selby	Democrat	Ciara O'Rourke	Leticia Van de Putte	Texas	"""Since 1980, over 145 incidents have been documented of suction entrapment in swimming pools and spas, including 36 deaths of children."""	['Children', 'Consumer Safety']	5
2011-03-23	Robert Higgs	Republican	Mark Naymik	John Kasich	Ohio	"Ohio Director of Job Creation ""Mark Kvamme just clawed back about $900,000 from companies that made promises and they didn't keep them."""	['Government Efficiency', 'State Budget']	3
2011-03-22	Warren Fiske	Republican	Jacob Geiger	Morgan Griffith	Virginia	"""Not even expensive bottled water, like Perrier and Evian, are of good enough quality to pump out of mines in Southwest Virginia, according to the EPA regulation."""	['Environment']	2
2011-03-22	Martha M. Hamilton	Republican	Robert Farley	Ann Coulter	New York	"""There is a growing body of evidence that radiation in excess of what the government says are the minimum amounts you should be exposed to are actually good for you and reduce cases of cancer."""	['Nuclear', 'Pundits', 'Science']	2
2011-03-22	John Bartosek	Republican	Aaron Sharockman	John Thrasher	Florida	"Says taxpayer resources are being used ""to facilitate private political agendas"" through automatic payroll deduction of union dues."	['Labor', 'State Budget']	2
2011-03-22	Martha M. Hamilton	None	Louis Jacobson	Robin Wright	Washington, D.C.	The coalition of Arab states against Libya’s Moammar Gadhafi is the biggest coalition against a fellow Arab leader since the Persian Gulf War in 1990-1991.	['Foreign Policy', 'Military', 'This Week - ABC News']	5
2011-03-22		Republican	W. Gardner Selby	Rick Perry	Texas	"Says the state’s budget shortfall is ""not that much different"" than it was in 2003."	['State Budget', 'Taxes']	1
2011-03-22	Greg Borowski	Democrat	Dave Umhoefer	Tom Barrett	Wisconsin	"""Eleven years ago, the city of Detroit lifted the residency requirement for police officers and today, 53 percent of officers live outside of the city. If we want the tax base of Milwaukee to resemble the tax base of Detroit, this is the way to go."""	['Labor', 'State Budget', 'Urban']	4
2011-03-22	Jim Tharpe	Democrat	Willoughby Mariano	Hank Johnson	Georgia	Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent.	['Abortion']	3
2011-03-21	Martha M. Hamilton	Republican	Louis Jacobson	Paul Ryan	Wisconsin	"""The Congressional Budget Office has this economic model where they measure the economy going forward, and they are now telling us that the entire economy crashes in the year 2037 because their computer simulation can't conceive of any way in which the U.S. economy can continue."""	['Economy']	3
2011-03-21	John Bartosek	Republican	Aaron Sharockman	Rick Scott	Florida	"""According to 2009 estimates, an agreement with Panama could result in almost 1,900 Florida jobs in the first year – and about 15,000 jobs after five years."""	['Jobs', 'Trade']	4
2011-03-21		Republican	W. Gardner Selby	Rick Perry	Texas	"Says a ""rather extraordinary amount of non-classroom employees"" were added by Texas school districts over the last decade."	['State Budget', 'Taxes']	4
2011-03-21	Greg Borowski	Democrat	Dave Umhoefer	Chris Larson	Wisconsin	"Senate Democrats who left the state for weeks to delay a vote on union bargaining power exercised a ""Wisconsin filibuster"" provided by the state’s constitution."	['State Budget']	2
2011-03-21	Warren Fiske		Jacob Geiger	Organizing for America		"The GOP budget plan ""would cut nearly a million jobs."""	['Economy', 'Federal Budget', 'Jobs']	3
2011-03-21	Therese Bottomly	Democrat	Ian K. Kullgren	Tobias Read	Oregon	"Says Oregon is ""near the top or at the top of the list"" when it comes to capital gains tax"	['State Budget', 'Taxes']	5
2011-03-21	Robert Higgs	Republican	Tom Feran	Steve LaTourette	Ohio	"""If you look at the jobs lost in the private sector as opposed to the job gains in the public sector, it's out of whack. The government's growing and the private economy's shrinking."""	['Economy', 'Government Efficiency', 'Jobs']	3
2011-03-21	Tim Murphy	Newsmaker	Peter Lord	Richard  Ferruccio	Rhode Island	"""What we have now is the most generous, in my opinion, 'good time' bill in the entire United States."""	['Crime', 'Criminal Justice', 'Legal Issues', 'Public Safety', 'States']	1
2011-03-20	Greg Borowski	None	Tom Kertscher	Marla  Stephens	Wisconsin	"The state of Wisconsin pays plumbers, engineers and other attorneys ""much, much more"" than it pays attorneys to represent poor people."	['Legal Issues', 'State Budget']	4
2011-03-20	Tim Murphy	Democrat	Edward Fitzpatrick	David Cicilline	Rhode Island	"""When I took office in 2003, we had very little reserves."""	['City Government']	2
2011-03-19		Democrat	W. Gardner Selby	Charles Reed	Texas	"The Texas Constitution ""still contains Jim Crow provisions about the poll tax and restrictions on women having the right to vote."""	['Legal Issues']	1
2011-03-19	Therese Bottomly	Democrat	Ian K. Kullgren	Sam Adams	Oregon	"Says ""for the equivalent cost of a single mile of freeway, we have a bike infrastructure."""	['Transportation']	4
2011-03-18	Bill Adair		Robert Farley	Anne Hathaway		Says the majority of Americans support gay marriage.	['Gays and Lesbians', 'Marriage']	4
2011-03-18	Warren Fiske	Republican	Sean Gorman	Bob Goodlatte	Virginia	"The House budget plan proposes ""the largest discretionary spending cut in history."""	['Federal Budget', 'History']	4
2011-03-18	John Bartosek	None	Katie Sanders	National Federation of Independent Business-Florida	Florida	"""Florida is one of only three states that require licenses for commercial interior designers."""	['Consumer Safety', 'Government Efficiency']	5
2011-03-18	Greg Borowski	None	Tom Kertscher	Milwaukee Police Association	Wisconsin	Says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the City of Milwaukee.	['City Budget', 'Labor', 'State Budget']	2
2011-03-18	John Bridges	Republican	W. Gardner Selby	Rick Perry	Texas	"Says the state’s rainy day fund is ""our insurance policy against a major natural disaster."""	['State Budget', 'Taxes']	2
2011-03-18	Elizabeth Miniet, Jim Tharpe	None	Eric Stirgus	Georgia state senators	Georgia	Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.	['Alcohol']	1
2011-03-18	Robert Higgs	Democrat	Tom Feran	Betty Sutton	Ohio	"""Lake Erie supports nearly 10 percent of Ohio's jobs and generates $750 million in state and local taxes."""	['Economy', 'Environment', 'Federal Budget', 'Tourism']	4
2011-03-17	John Bartosek	Republican	Robert Farley	Matt Gaetz	Florida	Says his bill, HB 97, would prevent the use of taxpayer dollars on abortions.	['Abortion', 'Health Care']	1
2011-03-17	Brenda Bell, W. Gardner Selby	Republican	Ciara O'Rourke	Jeff Wentworth	Texas	"""We have over 25 million people who live in Texas and less than 2 percent of them have"" concealed handgun licenses."	['Guns']	5
2011-03-17	W. Gardner Selby	Democrat		Eddie Rodriguez	Texas	Says Texas colleges and universities may opt to allow guns on campuses.	['Education', 'Guns']	4
2011-03-16	John Bartosek	Republican	Aaron Sharockman	Andy Gardiner	Florida	"A proposed revenue smart cap ""gives Floridians a voice, requiring a 60 percent vote by citizens in order to impose a new tax, fee, license, fine, charge or assessment."""	['State Budget', 'Taxes']	1
2011-03-16	Martha M. Hamilton	None	Louis Jacobson	Bill  Kristol	Washington, D.C.	"""Twenty percent of our electricity currently comes from nuclear power plants. I think there are 104 in the United States, two of them around the coast in California."""	['Energy', 'Environment']	4
2011-03-16	Robert Higgs	Democrat	James Ewinger	Sherrod Brown	Ohio	"Says that Republicans ""bragged about how every bill was going to be paid for, right from the beginning"" and that the first vote, the repeal of health care reform, violated that rule."	['Health Care', 'Voting Record']	4
2011-03-16	W. Gardner Selby	Journalist	Meghan Ashford-Grooms	Gail  Collins	New York	"Gov. Rick Perry ""used $3.2 billion in stimulus dollars for schools to plug other holes in his budget."""	['Education', 'Stimulus']	2
2011-03-16	Jim  Denery, Jim Tharpe	Democrat	Willoughby Mariano	John Lewis	Georgia	Building and running the Atlanta Streetcar is projected to create 1,399 jobs.	['Transportation']	1
2011-03-16	Warren Fiske	Republican	Jacob Geiger	Eric Cantor	Virginia	"""Put simply, less government spending equals more private sector jobs."""	['Economy', 'Federal Budget', 'Jobs', 'Stimulus']	3
2011-03-15	Martha M. Hamilton	Columnist	Angie Drobnic Holan	George Will	Maryland	"Federal spending is ""all discretionary, other than interest on the national debt. Social Security is discretionary. We have the discretion to change the law. Same is true with Medicare and Medicaid."""	['Federal Budget', 'Pundits', 'This Week - ABC News']	5
2011-03-15	Robert Higgs	Democrat	Sabrina  Eaton	Marcia Fudge	Ohio	"""There are corporations in this nation, some of the biggest corporations in this nation, who do not pay taxes."""	['Corporations', 'Federal Budget', 'Taxes']	5
2011-03-15	Martha M. Hamilton	Democrat	Louis Jacobson	Barack Obama	Illinois	"""Oil production from federal waters in the Gulf of Mexico reached an all-time high"" in 2010."	['Energy', 'History', 'Oil Spill', 'Regulation']	3
2011-03-15	Martha M. Hamilton	Democrat	Louis Jacobson	Barack Obama	Illinois	"""Last year, American oil production reached its highest level since 2003."""	['Economy', 'Energy', 'History']	4
2011-03-15	Martha M. Hamilton		Angie Drobnic Holan	Republican National Committee		"""2008: Unions Spent $400 Million to Elect Obama."""	['Campaign Finance', 'Elections']	1
2011-03-15	Martha M. Hamilton	Democrat	Robert Farley	Barack Obama	Illinois	"""For the first time in more than a decade, imports accounted for less than half of (the oil) we consumed."""	['Energy', 'Oil Spill', 'Trade']	3
2011-03-15	Greg Borowski		Dave Umhoefer	Crossroads GPS		"In fighting collective bargaining changes, Democrats are trying to ""protect a system that pays unionized government workers 42 percent more than non-union workers."""	['Labor', 'State Budget']	2
2011-03-15	Jim  Denery, Jim Tharpe		Eric Stirgus	Nathan Deal		"""Georgia still has one of the richest programs in terms of scholarships for students to go to college."""	['Education']	5
2011-03-14	John Bartosek	None	Aaron Sharockman	Marion Hammer	Florida	"The American Academy of Pediatrics ""supports banning guns."""	['Children', 'Guns']	4
2011-03-14	Robert Higgs	None	Stephen Koff	Ohio Coal Association	Ohio	"Says that President Obama said in 2008 that his proposed greenhouse gas regulations ""will bankrupt"" anyone who wants to build a new coal-fired power plant."	['Cap and Trade', 'Climate Change', 'Environment']	4
2011-03-14	Bill Adair	Republican	Louis Jacobson	Fred Upton	Michigan	"A bill that would halt the EPA from regulating greenhouse gases would help ""stop rising gas prices."""	['Energy', 'Environment', 'Regulation']	1
2011-03-14	Martha M. Hamilton	Independent	Robert Farley	Bernie Sanders	Vermont	"""We now work the longest hours of any people around the world."""	['Labor']	1
2011-03-14	John Bartosek	Republican	Aaron Sharockman	Stephen Wise	Florida	"""Seven of the 10"" school districts with the lowest graduation rate for African-American boys in the country are in Florida."	['Education']	3
2011-03-14			W. Gardner Selby	Paul Krugman		Says taxes paid by the poorest residents of Texas are above the national average.	['Income', 'Taxes']	5
2011-03-14	Jim  Denery, Jim Tharpe	Republican	M.B. Pell	Alan Powell	Georgia	"""Democrats have now become the party of the [Atlanta] metro area and of blacks."""	['Elections']	4
2011-03-13		Democrat	W. Gardner Selby	Lee Leffingwell	Texas	"Says four-year terms for City Council members are ""the norm in most cities of our size."""	['City Government']	5
2011-03-13	Tim Murphy	Organization	C. Eugene Emery Jr.	Patti Doyle	Rhode Island	"At Twin River, ""we're more than competitive"" with nearby casinos in slot machine payouts."	['Economy', 'Gambling']	4
2011-03-12		Republican	W. Gardner Selby	Glenn Hegar	Texas	Texans eat more catfish than residents of all other states combined.	['Agriculture', 'Food Safety']	1
2011-03-12	Therese Bottomly	Democrat	Charles Pope	Jeff Merkley	Oregon	Tapping the Strategic Petroleum Reserve would immediately lower gasoline prices	['Energy']	4
